1000	48454
2000	21747
3000	7708
4000	7009
5000	7011
6000	7020
7000	7020
8000	7029
9000	7044
10000	7021
11000	7025
12000	7013
13000	7020
14000	7025
15000	7020
16000	7013
17000	7034
18000	7047
19000	7040
20000	7035
21000	7036
22000	7032
23000	7016
24000	7024
25000	7015
26000	7013
27000	7019
28000	7009
29000	7010
30000	7011
31000	7012
32000	7034
33000	7033
34000	7025
35000	7041
36000	7031
37000	7053
38000	7013
39000	7006
40000	6998
41000	7017
42000	7027
43000	7031
44000	7024
45000	7034
46000	7021
47000	7024
48000	7022
49000	7027
50000	7281
51000	7139
52000	7356
53000	5646
54000	6874
55000	7080
56000	7026
57000	7108
58000	7108
59000	7001
60000	7025
61000	7028
62000	7047
63000	7063
64000	7054
65000	7037
66000	7022
67000	7030
68000	7022
69000	7028
70000	7024
71000	7023
72000	7023
73000	7020
74000	7014
75000	7071
76000	7026
77000	7028
78000	7041
79000	6998
80000	7007
81000	7024
82000	7013
83000	7005
84000	7015
85000	7040
86000	7022
87000	7026
88000	7022
89000	7021
90000	7014
91000	7014
92000	7031
93000	7023
94000	7018
95000	7013
96000	7008
97000	7017
98000	7021
99000	7008
